Date,H_with_symptoms_cum,C_cum,R_from_H_cum,D_cum,Total_cases_cum
20-Feb-2020,26,0,0,0,2
21-Feb-2020,29,1,0,0,2
22-Feb-2020,32,1,0,0,2
23-Feb-2020,36,2,0,0,2
24-Feb-2020,47,2,0,0,3
25-Feb-2020,56,2,0,0,10
26-Feb-2020,60,3,0,0,16
27-Feb-2020,70,3,0,0,29
28-Feb-2020,75,3,0,0,43
29-Feb-2020,82,3,0,0,65
01-Mar-2020,85,3,0,0,113
02-Mar-2020,90,3,0,0,148
03-Mar-2020,100,5,0,0,194
04-Mar-2020,111,6,0,0,238
05-Mar-2020,122,8,0,0,364
06-Mar-2020,130,8,0,0,386
07-Mar-2020,137,9,0,0,526
08-Mar-2020,82,87,25,28,990
09-Mar-2020,85,117,140,35,1564
10-Mar-2020,325,161,188,48,2084
11-Mar-2020,466,217,201,86,2871
12-Mar-2020,1956,287,200,123,4163
13-Mar-2020,2279,317,544,141,5893
14-Mar-2020,3268,423,556,292,7725
15-Mar-2020,3691,478,575,314,9263
16-Mar-2020,5354,628,1086,496,11198
17-Mar-2020,5911,867,1160,590,13716
18-Mar-2020,7841,1057,1210,765,17147
19-Mar-2020,9618,1297,1542,993,19980
20-Mar-2020,12177,1630,2131,1326,24926
21-Mar-2020,14609,1816,2672,1672,28914
22-Mar-2020,17422,2155,3140,2136,32911
23-Mar-2020,20540,2617,3697,2707,39673
24-Mar-2020,23704,3155,5054,3303,47610
25-Mar-2020,27490,3481,6326,3918,56188
26-Mar-2020,31797,4023,8491,4663,64059
27-Mar-2020,35828,4353,10896,5502,72248
28-Mar-2020,38145,4662,13219,6217,78796
29-Mar-2020,40791,4926,14823,6913,85142
30-Mar-2020,42911,5233,16926,7733,94164
31-Mar-2020,45701,5517,20023,8662,102136
01-Apr-2020,47998,5722,23509,9539,110238
02-Apr-2020,49751,5919,26540,10384,117710
03-Apr-2020,51712,6077,30173,11164,124736
04-Apr-2020,52574,6362,33701,11834,130759
05-Apr-2020,53626,6443,35723,12462,135032
06-Apr-2020,54276,6526,38620,13219,140510
07-Apr-2020,54856,6644,43091,13976,146690
08-Apr-2020,55796,6810,47116,14757,152446
09-Apr-2020,56956,6866,50860,15399,157022
10-Apr-2020,57428,6895,54118,15899,161852
11-Apr-2020,62954,6914,57026,16505,166019
12-Apr-2020,64264,7148,59165,17056,169404
13-Apr-2020,64672,7178,61924,17591,172552
14-Apr-2020,65742,7271,65682,18276,177464
15-Apr-2020,66255,7370,69461,18893,154687
16-Apr-2020,67059,7338,72952,19478,149400
17-Apr-2020,67966,7553,74662,20043,54071
18-Apr-2020,68402,7668,77357,20453,8185
19-Apr-2020,68814,7698,80587,20852,8299
20-Apr-2020,69398,7705,82514,21282,8468
21-Apr-2020,69909,7700,85915,21717,8634
22-Apr-2020,70384,7705,89250,22157,8805
23-Apr-2020,70765,7780,92355,22524,8932
24-Apr-2020,70760,7756,95708,22902,9116
25-Apr-2020,72386,7764,98732,23190,9176
26-Apr-2020,103709,10372,100875,23521,9238
27-Apr-2020,104522,10437,102548,23822,9328
28-Apr-2020,105124,10721,108947,24275,9466
