time	susceptible (0-9)	susceptible (10-19)	susceptible (20-29)	susceptible (30-39)	susceptible (40-49)	susceptible (50-59)	susceptible (60-69)	susceptible (70-79)	susceptible (80+)	susceptible (total)	severe (0-9)	severe (10-19)	severe (20-29)	severe (30-39)	severe (40-49)	severe (50-59)	severe (60-69)	severe (70-79)	severe (80+)	severe (total)	exposed (0-9)	exposed (10-19)	exposed (20-29)	exposed (30-39)	exposed (40-49)	exposed (50-59)	exposed (60-69)	exposed (70-79)	exposed (80+)	exposed (total)	overflow (0-9)	overflow (10-19)	overflow (20-29)	overflow (30-39)	overflow (40-49)	overflow (50-59)	overflow (60-69)	overflow (70-79)	overflow (80+)	overflow (total)	ICU (0-9)	ICU (10-19)	ICU (20-29)	ICU (30-39)	ICU (40-49)	ICU (50-59)	ICU (60-69)	ICU (70-79)	ICU (80+)	ICU (total)	infectious (0-9)	infectious (10-19)	infectious (20-29)	infectious (30-39)	infectious (40-49)	infectious (50-59)	infectious (60-69)	infectious (70-79)	infectious (80+)	infectious (total)	cumulative_recovered (0-9)	cumulative_recovered (10-19)	cumulative_recovered (20-29)	cumulative_recovered (30-39)	cumulative_recovered (40-49)	cumulative_recovered (50-59)	cumulative_recovered (60-69)	cumulative_recovered (70-79)	cumulative_recovered (80+)	cumulative_recovered (total)	cumulative_hospitalized (0-9)	cumulative_hospitalized (10-19)	cumulative_hospitalized (20-29)	cumulative_hospitalized (30-39)	cumulative_hospitalized (40-49)	cumulative_hospitalized (50-59)	cumulative_hospitalized (60-69)	cumulative_hospitalized (70-79)	cumulative_hospitalized (80+)	cumulative_hospitalized (total)	cumulative_critical (0-9)	cumulative_critical (10-19)	cumulative_critical (20-29)	cumulative_critical (30-39)	cumulative_critical (40-49)	cumulative_critical (50-59)	cumulative_critical (60-69)	cumulative_critical (70-79)	cumulative_critical (80+)	cumulative_critical (total)	cumulative_fatality (0-9)	cumulative_fatality (10-19)	cumulative_fatality (20-29)	cumulative_fatality (30-39)	cumulative_fatality (40-49)	cumulative_fatality (50-59)	cumulative_fatality (60-69)	cumulative_fatality (70-79)	cumulative_fatality (80+)	cumulative_fatality (total)
2020-02-01	39721484	42332393	46094077	44668271	40348398	42120069	38488173	24082598	13147180	331002643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	39721484	42332393	46094077	44668271	40348398	42120069	38488173	24082598	13147180	331002640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-03	39721483	42332392	46094076	44668270	40348397	42120068	38488172	24082598	13147180	331002638	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-04	39721483	42332392	46094076	44668270	40348397	42120068	38488172	24082597	13147180	331002635	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-05	39721483	42332391	46094075	44668269	40348397	42120067	38488172	24082597	13147179	331002631	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-06	39721482	42332391	46094075	44668269	40348396	42120067	38488171	24082597	13147179	331002627	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	0	0	6	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-07	39721482	42332390	46094074	44668268	40348395	42120066	38488171	24082596	13147179	331002622	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	2	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	1	0	0	7	0	0	1	1	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-08	39721481	42332390	46094073	44668268	40348395	42120066	38488170	24082596	13147179	331002617	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	8	1	1	1	1	1	7	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-09	39721480	42332389	46094073	44668267	40348394	42120065	38488169	24082596	13147179	331002611	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	10	1	1	1	1	1	8	1	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-10	39721479	42332388	46094072	44668266	40348393	42120064	38488168	24082595	13147178	331002604	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	0	11	1	1	2	2	1	9	1	1	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
